grid_x,grid_y,date,accidents
0,0,2023-01-01,0
0,1,2023-01-01,0
0,2,2023-01-01,1
0,3,2023-01-01,0
0,4,2023-01-01,0
0,5,2023-01-01,0
0,6,2023-01-01,1
0,7,2023-01-01,1
0,8,2023-01-01,0
0,9,2023-01-01,1
1,0,2023-01-01,0
1,1,2023-01-01,1
1,2,2023-01-01,1
1,3,2023-01-01,2
1,4,2023-01-01,0
1,5,2023-01-01,0
1,6,2023-01-01,0
1,7,2023-01-01,1
1,8,2023-01-01,0
1,9,2023-01-01,5
2,0,2023-01-01,1
2,1,2023-01-01,3
2,2,2023-01-01,3
2,3,2023-01-01,0
2,4,2023-01-01,0
2,5,2023-01-01,3
2,6,2023-01-01,1
2,7,2023-01-01,3
2,8,2023-01-01,2
2,9,2023-01-01,1
3,0,2023-01-01,4
3,1,2023-01-01,0
3,2,2023-01-01,0
3,3,2023-01-01,1
3,4,2023-01-01,1
3,5,2023-01-01,0
3,6,2023-01-01,0
3,7,2023-01-01,2
3,8,2023-01-01,0
3,9,2023-01-01,1
4,0,2023-01-01,2
4,1,2023-01-01,0
4,2,2023-01-01,0
4,3,2023-01-01,0
4,4,2023-01-01,0
4,5,2023-01-01,1
4,6,2023-01-01,0
4,7,2023-01-01,0
4,8,2023-01-01,2
4,9,2023-01-01,1
5,0,2023-01-01,0
5,1,2023-01-01,0
5,2,2023-01-01,0
5,3,2023-01-01,0
5,4,2023-01-01,0
5,5,2023-01-01,0
5,6,2023-01-01,2
5,7,2023-01-01,0
5,8,2023-01-01,0
5,9,2023-01-01,1
6,0,2023-01-01,1
6,1,2023-01-01,1
6,2,2023-01-01,2
6,3,2023-01-01,1
6,4,2023-01-01,0
6,5,2023-01-01,0
6,6,2023-01-01,0
6,7,2023-01-01,1
6,8,2023-01-01,0
6,9,2023-01-01,0
7,0,2023-01-01,1
7,1,2023-01-01,0
7,2,2023-01-01,0
7,3,2023-01-01,0
7,4,2023-01-01,0
7,5,2023-01-01,0
7,6,2023-01-01,0
7,7,2023-01-01,1
7,8,2023-01-01,0
7,9,2023-01-01,1
8,0,2023-01-01,1
8,1,2023-01-01,3
8,2,2023-01-01,0
8,3,2023-01-01,0
8,4,2023-01-01,0
8,5,2023-01-01,0
8,6,2023-01-01,1
8,7,2023-01-01,1
8,8,2023-01-01,0
8,9,2023-01-01,0
9,0,2023-01-01,2
9,1,2023-01-01,0
9,2,2023-01-01,0
9,3,2023-01-01,1
9,4,2023-01-01,0
9,5,2023-01-01,0
9,6,2023-01-01,0
9,7,2023-01-01,1
9,8,2023-01-01,0
9,9,2023-01-01,1
0,0,2023-01-02,2
0,1,2023-01-02,0
0,2,2023-01-02,1
0,3,2023-01-02,1
0,4,2023-01-02,0
0,5,2023-01-02,1
0,6,2023-01-02,1
0,7,2023-01-02,0
0,8,2023-01-02,1
0,9,2023-01-02,0
1,0,2023-01-02,0
1,1,2023-01-02,2
1,2,2023-01-02,0
1,3,2023-01-02,3
1,4,2023-01-02,2
1,5,2023-01-02,1
1,6,2023-01-02,1
1,7,2023-01-02,0
1,8,2023-01-02,1
1,9,2023-01-02,1
2,0,2023-01-02,1
2,1,2023-01-02,0
2,2,2023-01-02,1
2,3,2023-01-02,2
2,4,2023-01-02,1
2,5,2023-01-02,1
2,6,2023-01-02,3
2,7,2023-01-02,0
2,8,2023-01-02,3
2,9,2023-01-02,0
3,0,2023-01-02,1
3,1,2023-01-02,1
3,2,2023-01-02,0
3,3,2023-01-02,3
3,4,2023-01-02,2
3,5,2023-01-02,0
3,6,2023-01-02,0
3,7,2023-01-02,0
3,8,2023-01-02,1
3,9,2023-01-02,3
4,0,2023-01-02,0
4,1,2023-01-02,0
4,2,2023-01-02,1
4,3,2023-01-02,0
4,4,2023-01-02,1
4,5,2023-01-02,1
4,6,2023-01-02,0
4,7,2023-01-02,0
4,8,2023-01-02,1
4,9,2023-01-02,0
5,0,2023-01-02,1
5,1,2023-01-02,0
5,2,2023-01-02,1
5,3,2023-01-02,0
5,4,2023-01-02,0
5,5,2023-01-02,0
5,6,2023-01-02,3
5,7,2023-01-02,0
5,8,2023-01-02,2
5,9,2023-01-02,0
6,0,2023-01-02,1
6,1,2023-01-02,0
6,2,2023-01-02,0
6,3,2023-01-02,1
6,4,2023-01-02,0
6,5,2023-01-02,0
6,6,2023-01-02,0
6,7,2023-01-02,1
6,8,2023-01-02,5
6,9,2023-01-02,0
7,0,2023-01-02,2
7,1,2023-01-02,0
7,2,2023-01-02,1
7,3,2023-01-02,0
7,4,2023-01-02,0
7,5,2023-01-02,0
7,6,2023-01-02,0
7,7,2023-01-02,0
7,8,2023-01-02,1
7,9,2023-01-02,1
8,0,2023-01-02,0
8,1,2023-01-02,2
8,2,2023-01-02,0
8,3,2023-01-02,1
8,4,2023-01-02,0
8,5,2023-01-02,0
8,6,2023-01-02,2
